id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1414173477695676423,theSun,Petaling Jaya,Breaking news updates from the website of Malaysia's free and largest circulating urban newspaper. Like Thesundaily on Facebook & Instagram.,2009-07-29 01:58:44,146855,463,450,False,2021-07-11 10:43:25,"The number of Covid-19 cases today, 11 July 2021.
Remember to observe safety and protective measures when you’re ou… https://t.co/o9aJXzo2nw",,Twitter Web App,3,4,False
1361956183830130691,STOPCOMMONPASS.ORG ❌,Global,"'Trust' is not carte-blanche for erosion of our liberty, privacy, & the pursuit of global control.

TG: https://t.co/VTjXzI8Cth
Enquiries: stopcommonpass@pm.me",2020-10-25 20:33:33,2360,250,5334,False,2021-02-17 08:30:32,"@SkyNews No - it can't be a 'condition of employment' because: 

1. #PfizerBioNTech jab isn't legally/technically a… https://t.co/iKlbD2jWPj",['PfizerBioNTech'],Twitter Web App,9,28,False
1340643941113278464,Tamina Rashell #FBPE,,"Pro EU  & Value NHS.  Interests Travel, Politics & theatre /film.  Retweets not endorsements.",2019-12-18 18:27:04,3104,4997,63779,False,2020-12-20 13:03:18,@SimonClarkeMP Give the NHS staff the resources and support they need to tackle this health crisis. The right suppl… https://t.co/ST5T1bWrA3,,Twitter Web App,0,2,False
1358413881790595081,"Janine M. Ziermann, PhD","Washington, DC","Assist. Prof. @HowardU Coll. Med., Dept. Anat.; RESEARCH: Evo & Devo of Head & Heart Musculature; TEACHING: Anatomy & Embryology MD, OT, PT, Grads; she/her",2018-08-20 15:17:16,2119,1992,30084,False,2021-02-07 13:54:42,"45 hours after second #PfizerBiontech #vaccination slept good, fever is gone. All is good 😌 https://t.co/8VV6ipRLvx","['PfizerBiontech', 'vaccination']",Twitter for iPhone,0,9,False
1352715673173110785,🔱🇬🇧jojo🇬🇧🔱,God’s own country,we need a first amendment now and the second for what lies ahead. I’ll never vote for globalists again. No DMs please. Now on Parler @redial999.,2012-01-31 19:39:06,2812,2518,79045,False,2021-01-22 20:32:03,@Peston @neil_ferguson There might be a pandemic yet #vaccinationCovid #vaccinated #PfizerBioNTech #Moderna https://t.co/nkIiyzQtQk,"['vaccinationCovid', 'vaccinated', 'PfizerBioNTech', 'Moderna']",Twitter for iPhone,1,1,False
1345146326426779652,AislingL,"Glasgow, Scotland","Glaswegian. Feminist. Politics nerd. Travel enthusiast 🗺 Formerly @Europarl_EN🇧🇪 #StillEuropean🇪🇺 Fan-geek of film, theatre, rugby.",2009-06-13 17:46:19,789,3987,25113,False,2021-01-01 23:14:10,"What happened to ""following the science""?? 😡 (Also, seriously? A u-turn on day one of 2021?)  #PfizerVaccine… https://t.co/IGaL5O9lDm",['PfizerVaccine'],Twitter Web App,0,1,False
1363412584448151556,Zahid K,The Big Sand Pit,UK Hatched in '70s. Made in '80's. Now UAE (AD)& working with schools in MEA if I'm not negotiating with my 8yr old twins and terrible 2’s toddler Views my own,2009-04-21 23:50:07,1390,3159,4973,False,2021-02-21 08:57:45,@DHA_Dubai Finally got my first dose of #PfizerBioNTech #vaccine   Wonderful faultless experience. Amazing staff. C… https://t.co/kywvhIITnK,"['PfizerBioNTech', 'vaccine']",Twitter for iPhone,1,6,False
1365125195241955331,RASHE,Focusing through Faith,"#BreastCancerSurvivor. My Randomness. I was bored, so I downloaded Twitter. Intellect. Wisdom. Faith. Grace. #RiceMom #RiceRising",2009-03-20 01:35:37,527,706,4915,False,2021-02-26 02:23:04,Second dose of #PfizerBiontech #COVID19 vaccine 🦸🏽‍♀️ #Pfizer #CovidVaccine #COVID19Vaccine https://t.co/cxUFOdWUg9,"['PfizerBiontech', 'COVID19', 'Pfizer', 'CovidVaccine', 'COVID19Vaccine']",Twitter for iPhone,0,1,False
1348609497825210372,Charlotte,,Current Student Nurse at University of Birmingham. Bsc in Human Biology.,2020-09-10 17:57:41,36,67,59,False,2021-01-11 12:35:34,"Just got my first Covid-19 #PfizerBioNTech Vaccine, would definitely encourage others to do the same when they’re i… https://t.co/bU1AdTo2E5",['PfizerBioNTech'],Twitter for iPhone,0,4,False
1360137733419761666,Unicef UK Media,,"Latest news, breaking stories & press releases from the UK Committee for @UNICEF (@UNICEF_UK) and our teams around the world. 
media@unicef.org.uk",2011-03-01 16:50:24,6130,1039,925,True,2021-02-12 08:04:40,#COVAX Facility likely to start delivering #PfizerBiontech vaccines in Q1 of 2021 - making history with the ambitio… https://t.co/kQCEyhSb0h,"['COVAX', 'PfizerBiontech']",Twitter Web App,3,4,False
1354030878956150784,Martin Halla,"Wien, Österreich",economist ~ applied micro pays the rent ~ prof @jkulinz (prior @uniinnsbruck) ~ upstream commuter ~ likes to run (regressions) ~ austrian politics 🇦🇹,2013-12-05 20:45:46,1422,811,5104,False,2021-01-26 11:38:12,"#PfizerBioNTech in action ✅👍👏: ""Out of 428,000 Israelis who had received their 2nd doses 💉, a week later only [...]… https://t.co/x9niF5eaZ9",['PfizerBioNTech'],Twitter Web App,0,6,False
